Height,Width,Thickness,Efficiency,Cleaned Efficiency,Model,N/A,N/A,N/A,Power output
1050,540,3,0.89,89,Sunpower flex solar,NaN,NaN,,1598.6678
1150,670,35,24.1,24.1,FVG 100P,NaN,NaN,,588.2675
1082,796,35,15.7 ~ 20.6 ,20.6,IEC 140W,NaN,NaN,,562.073
1195,790,35,16.9,16.9,SE-S160,NaN,NaN,,505.4368
1082,796,35,0.18,18,HOP Series 155W,NaN,NaN,,491.1317
1060,796,2.5,0.176,17.6,SFED-F150SP,NaN,NaN,,470.4536
1015,670,30,18 ~ 21.55 ,21.55,GP-120~100M-36,NaN,NaN,,464.2729
1062,1061,40,0.195,19.5,DM 220,NaN,NaN,,464.0539
1062,1061,40,0.195,19.5,SDP-1P,NaN,NaN,,464.0539
1109,546,2,0.24,24,Solbianflex SP 104,NaN,NaN,,460.3844
1105,796,2,0.165,16.5,Flexible 145W,NaN,NaN,,459.7741
1190,790,7.3,14.4 ~ 15.4 ,15.4,BKE100-135/140/145-HP-FL,NaN,NaN,,458.6485
1185,670,30,16.8 ~ 17.8 ,17.8,SLS120-125M,NaN,NaN,,447.7116
991,647,50,21.8,21.8,CG140spherical,NaN,NaN,,442.8122
1120,670,30,16.8 ~ 18.4 ,18.4,P6-110-120,NaN,NaN,,437.4172
1185,670,30,16.8 ~ 17.2 ,17.2,SLS115-120P,NaN,NaN,,432.6202
1050,540,2.5,0.24,24,SPF-100W,NaN,NaN,,431.1014
1190,630,50,18,18,XHH135-24,NaN,NaN,,427.5089
1111,1111,45,16.2,16.2,SW 200-S,NaN,NaN,,422.3155
1068,987,21,17.62 ~ 18.76 ,18.76,FX36S,NaN,NaN,,417.6526
1020,676,35,0.1896,18.96,JST100P(72),NaN,NaN,,414.1621
1024,987,21.5,18.19 ~ 19.33 ,19.33,GX36S,NaN,NaN,,412.613
1082,796,35,15.1,15.1,CR130,NaN,NaN,,412.005
1082,796,35,15.1,15.1,JW-S130,NaN,NaN,,412.005
1082,796,35,15.1,15.1,JW-S130-24V,NaN,NaN,,412.005
1120,992,35,16.65 ~ 17.55 ,17.55,EGE-185-195M-72,NaN,NaN,,411.8136
1115,670,35,13.39 ~ 17.4 ,17.4,FY1-100-130M,NaN,NaN,,411.7979
1120,665,30,15.44 ~ 17.45 ,17.45,SKT115-130M-12,NaN,NaN,,411.7374
1155,665,34,15.62 ~ 16.92 ,16.92,ANORA 120-P,NaN,NaN,,411.7079
1125,984,25,0.176,17.6,EJ-SP150P,NaN,NaN,,411.4852
1190,790,7.3,0.138,13.8,SSL - 60105 (Thin Film) 100-150Wp,NaN,NaN,,410.9967
1190,630,50,17.3,17.3,XHH130-24,NaN,NaN,,410.8836
1046,683,2,0.18,18,Solbianflex SXp 102,NaN,NaN,,407.3897
1015,670,30,17.64 ~ 18.83 ,18.83,GP -110~100P-36,NaN,NaN,,405.6732
1191,1067,35,15,15,SCN-170/190-72MS,NaN,NaN,,402.5885
1160,992,35,14.77 ~ 16.51 ,16.51,SKT170-190M-24,NaN,NaN,,401.2459
1195,1066,46,14.9,14.9,SDM-170/190-72MS,NaN,NaN,,400.8716
1070,540,3,0.217,21.7,Semi-Flexible 100,NaN,NaN,,397.2121
1190,792,46,13.3,13.3,NE-L5E2E,NaN,NaN,,397.1083
1190,630,50,16.7,16.7,XHH125-24,NaN,NaN,,396.6333
1046,996,2,0.18,18,Solbianflex SXp 154 Q,NaN,NaN,,396.0568
1046,996,2,0.18,18,GEL-M40/50,NaN,NaN,,396.0568
1120,670,30,0.1666,16.66,EGE-125M-36,NaN,NaN,,396.0527
670,1195,30,15 ~ 15.6 ,15.6,SN-M120-125,NaN,NaN,,395.6876
1050,540,3,0.22,22,GSP100-F,NaN,NaN,,395.1763
